"VendorID","pickup_date","pickup_weekday","is_Sunday","is_Saturday","pickup_time","pickup_hour","pickup_dayhour","dropoff_date","dropoff_time","dropoff_hour","passenger_count","trip_distance","pickup_longitude","pickup_latitude","RateCodeID","store_and_fwd_flag","dropoff_longitude","dropoff_latitude","payment_type","payment_card","payment_cash","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","Zipcode","STATION","STATION_NAME","DATE","PRCP","SNWD","SNOW","TMAX","TMIN","AWND","X2010.Population","Land.Sq.Mi","Density.Per.Sq.Mile","UnempRate","numb_sample","AreaName","Place.","State.","Population.","Housing","pctWhite","pctBlack","pctAI.AN","pctAsian","pctNHOPI","pctOthRace","pct2.Races","pctHispanic","DAHR","DA","HR","dayhour","DIR","SPD","GUS","CLG","SKC","VSB","TEMP","DEWP","MAX","MIN","PCP01"
2,"5/3/2015",1,1,0,"3:17:00 PM",15,"3/15","5/3/2015","15:27:00",15,1,1.55,-73.98547363,40.73865509,1,"N",-73.99960327,40.7260704,2,0,1,8,0,0.5,0,0,0.3,8.8,10010,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/3/2015",0,0,0,267,106,11,31834,0.39,81625.64103,"8%",26722,"New York",51000,"NY",31,834,18,30,73.8,5.9,0.2,14.4,0.1,2.5,315,3,15,"3/15",210,9,NA,250,"",10,62,45,NA,NA,0
1,"5/17/2015",1,1,0,"12:10:00 AM",0,"17/0","5/17/2015","0:20:00",0,1,2.3,-74.00344849,40.74855423,1,"N",-73.98217773,40.77846146,1,1,0,10,0.5,0.5,2.25,0,0.3,13.55,10001,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/17/2015",5,0,0,283,178,9,21102,0.614,34368.07818,"9%",19050,"New York",51000,"NY",21,102,12,476,65,9,0.4,16.8,0,5,170,17,0,"17/0",140,6,NA,NA,"OVC",8.8,64,57,70,58,NA
2,"5/29/2015",6,0,0,"1:38:00 PM",13,"29/13","5/29/2015","13:59:00",13,1,2.72,-73.97530365,40.75846863,1,"N",-73.95261383,40.79237366,2,0,1,15,0,0.5,0,0,0.3,15.8,10022,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/29/2015",0,0,0,294,183,18,31924,0.428,74588.78505,"5%",26669,"New York",51000,"NY",31,924,23,485,86.4,1.9,0.1,9,0.1,0.9,2913,29,13,"29/13",50,7,NA,722,"CLR",10,76,54,NA,NA,0
1,"5/30/2015",7,0,1,"7:20:00 PM",19,"30/19","5/30/2015","19:22:00",19,1,0.3,-73.98271179,40.72343826,1,"N",-73.98486328,40.72674179,2,0,1,3.5,0,0.5,0,0,0.3,4.3,10009,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/30/2015",0,0,0,294,194,25,61347,0.617,99427.87682,"7%",56005,"New York",51000,"NY",61,347,31,709,62.1,9.8,0.5,13.7,0.1,9.7,3019,30,19,"30/19",180,26,36,722,"SCT",10,77,63,NA,NA,0
1,"5/23/2015",7,0,1,"6:51:00 PM",18,"23/18","5/23/2015","19:02:00",19,1,0.7,-73.98715973,40.76576233,1,"N",-73.98378754,40.75912476,2,0,1,8,0,0.5,0,0,0.3,8.8,10019,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/23/2015",0,0,0,211,94,20,42870,0.687,62401.74672,"7%",37839,"New York",51000,"NY",42,870,31,404,69.3,5.5,0.3,16.7,0.1,4.7,2318,23,18,"23/18",NA,5,NA,NA,"",10,65,20,65,53,NA
1,"5/6/2015",4,0,0,"8:24:00 PM",20,"6/20","5/6/2015","20:38:00",20,1,2.6,-73.95693207,40.76789474,1,"N",-73.98574066,40.74671555,1,1,0,11.5,0.5,0.5,2.55,0,0.3,15.35,10021,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/6/2015",0,0,0,228,150,22,43631,0.379,115121.372,"3%",36500,"New York",51000,"NY",43,631,28,628,88,1.8,0.1,7.3,0,0.9,620,6,20,"6/20",110,14,NA,70,"",10,66,47,NA,NA,0
2,"5/6/2015",4,0,0,"5:40:00 PM",17,"6/17","5/6/2015","17:56:00",17,1,1.34,-73.96498108,40.75991058,1,"N",-73.97839355,40.74497986,1,1,0,11,1,0.5,2.56,0,0.3,15.36,10022,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/6/2015",0,0,0,228,150,22,31924,0.428,74588.78505,"5%",26669,"New York",51000,"NY",31,924,23,485,86.4,1.9,0.1,9,0.1,0.9,617,6,17,"6/17",40,10,NA,70,"",10,69,41,70,63,0
1,"5/7/2015",5,0,0,"12:20:00 PM",12,"7/12","5/7/2015","12:31:00",12,1,0.8,-73.97960663,40.75622177,1,"N",-73.99035645,40.75114822,2,0,1,8,0,0.5,0,0,0.3,8.8,10036,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/7/2015",0,0,0,267,133,10,24711,0.441,56034.01361,"10%",21102,"New York",51000,"NY",24,711,17,958,63.7,9.3,0.4,17.1,0.1,5.8,712,7,12,"7/12",350,3,NA,NA,"SCT",10,63,47,70,51,NA
1,"5/3/2015",1,1,0,"11:51:00 AM",11,"3/11","5/3/2015","12:12:00",12,1,10.3,-73.99575806,40.7387085,1,"N",-73.86156464,40.76821136,1,1,0,29.5,0,0.5,5,5.54,0.3,40.84,10011,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/3/2015",0,0,0,267,106,11,50984,0.661,77131.61876,"7%",46908,"New York",51000,"NY",50,984,33,252,80.3,4.6,0.2,8.9,0.1,2.9,311,3,11,"3/11",240,8,NA,722,"SCT",10,54,41,54,46,0
1,"5/30/2015",7,0,1,"6:38:00 PM",18,"30/18","5/30/2015","18:46:00",18,1,0.6,-73.98893738,40.75303268,1,"N",-73.98870087,40.75935745,1,1,0,6,0,0.5,1,0,0.3,7.8,10018,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/30/2015",0,0,0,294,194,25,5229,0.322,16239.13043,"5%",4926,"New York",51000,"NY",5,229,4,425,57,7.6,0.3,25.7,0,6.2,3018,30,18,"30/18",180,20,NA,NA,"SCT",10,77,63,77,66,NA
